Axe
THRUST              , _ , _ , _
THRUST_UNTERHAU     , _ , _ , _
THRUST_UP           , _ , _ , _
THRUST_DOWN         , _ , _ , _
THRUST_DIAG_UP      , _ , _ , _
THRUST_DIAG_DOWN    , _ , _ , _
LUNGE               , _ , _ , _
STAB                , _ , _ , _
STAB_UNTERHAU       , _ , _ , _
SWING               , B , D , E
SWING_UNTERHAU      , _ , _ , _
SWING_UNTERHAU_C    , B , C , E
SWING_AERIAL        , C , D , E
SWING_PRONE         , B , D , E
SWING_UP_FORWARD    , B , D , E
SWING_UP_BACKWARD   , _ , _ , _
SWING_DOWN_FORWARD  , C , D , E
SWING_DOWN_BACKWARD , _ , _ , _
SHOVE               , _ , _ , _
GRAB                , _ , _ , _
GRAB_UP             , _ , _ , _
GRAB_DIAG_UP        , _ , _ , _
GRAB_ALT            , _ , _ , _
POUNCE              , _ , _ , _
TACKLE              , _ , _ , _
TOSS                , F , F , F
THROW               , C , D , F
THROW_UP            , C , D , F
THROW_UP_DIAG       , C , D , F
THROW_DOWN          , C , D , F
THROW_DOWN_DIAG     , C , D , F
DROP                , F , F , F
INTERACT            , _ , _ , _
DRAW                , _ , _ , _
LOAD                , _ , _ , _
SHOOT               , _ , _ , _
