Dagger
THRUST              , -1 , -1 , -2
THRUST_UNTERHAU     , -1 , -1 , -2
THRUST_UP           , -1 , -1 , -2
THRUST_DOWN         , -1 , -1 , -2
THRUST_DIAG_UP      , -1 , -1 , -2
THRUST_DIAG_DOWN    , -1 , -1 , -2
LUNGE               , _ , _ , _
STAB                , -1 , -1 , -2
STAB_UNTERHAU       , -1 , -1 , -2
SWING               , -3 , -1 , -2
SWING_UNTERHAU      , -3 , -1 , -2
SWING_UNTERHAU_C    , -3 , -1 , -2
SWING_AERIAL        , -3 , -1 , -2
SWING_PRONE         , -3 , -1 , -2
SWING_UP_FORWARD    , -3 , -1 , -2
SWING_UP_BACKWARD   , _ , _ , _
SWING_DOWN_FORWARD  , -3 , -1 , -2
SWING_DOWN_BACKWARD , _ , _ , _
SHOVE               , _ , _ , _
GRAB                , _ , _ , _
GRAB_UP             , _ , _ , _
GRAB_DIAG_UP        , _ , _ , _
GRAB_ALT            , _ , _ , _
POUNCE              , _ , _ , _
TACKLE              , _ , _ , _
TOSS                , 0 , 0 , 0
THROW               , 0 , 0 , -1
THROW_UP            , 0 , 0 , -1
THROW_UP_DIAG       , 0 , 0 , -1
THROW_DOWN          , 0 , 0 , -1
THROW_DOWN_DIAG     , 0 , 0 , -1
DROP                , 0 , 0 , 0
INTERACT            , _ , _ , _
DRAW                , _ , _ , _
LOAD                , _ , _ , _
SHOOT               , _ , _ , _
