Mace
THRUST              , E , D , F-
THRUST_UNTERHAU     , F , F , F-
THRUST_UP           , E , D , F-
THRUST_DOWN         , E , D , F-
THRUST_DIAG_UP      , E , D , F-
THRUST_DIAG_DOWN    , E , D , F-
LUNGE               , D , B , F-
STAB                , _ , _ , _
STAB_UNTERHAU       , _ , _ , _
SWING               , C , C , F-
SWING_UNTERHAU      , _ , _ , _
SWING_UNTERHAU_C    , B , B , F-
SWING_AERIAL        , C , C , F-
SWING_PRONE         , C , C , F-
SWING_UP_FORWARD    , C , C , F-
SWING_UP_BACKWARD   , _ , _ , _
SWING_DOWN_FORWARD  , C , C , F-
SWING_DOWN_BACKWARD , _ , _ , _
SHOVE               , _ , _ , _
GRAB                , _ , _ , _
GRAB_UP             , _ , _ , _
GRAB_DIAG_UP        , _ , _ , _
GRAB_ALT            , _ , _ , _
POUNCE              , _ , _ , _
TACKLE              , _ , _ , _
TOSS                , F , F , F-
THROW               , D , D , F-
THROW_UP            , D , D , F-
THROW_UP_DIAG       , D , D , F-
THROW_DOWN          , D , D , F-
THROW_DOWN_DIAG     , D , D , F-
DROP                , F , F , F-
INTERACT            , _ , _ , _
DRAW                , _ , _ , _
LOAD                , _ , _ , _
SHOOT               , _ , _ , _
