Axe
THRUST              , _ , _ , _
THRUST_UNTERHAU     , _ , _ , _
THRUST_UP           , _ , _ , _
THRUST_DOWN         , _ , _ , _
THRUST_DIAG_UP      , _ , _ , _
THRUST_DIAG_DOWN    , _ , _ , _
LUNGE               , _ , _ , _
STAB                , _ , _ , _
STAB_UNTERHAU       , _ , _ , _
SWING               ,  0 ,  0 , -1
SWING_UNTERHAU      ,  0 ,  0 , -1
SWING_UNTERHAU_C    ,  0 ,  0 , -1
SWING_AERIAL        ,  0 ,  0 , -1
SWING_PRONE         ,  0 ,  0 , -1
SWING_UP_FORWARD    ,  0 ,  0 , -1
SWING_UP_BACKWARD   ,  B ,  D , E-
SWING_DOWN_FORWARD  ,  0 ,  0 , -1
SWING_DOWN_BACKWARD ,  C ,  D , E-
SHOVE               , _ , _ , _
GRAB                , _ , _ , _
GRAB_UP             , _ , _ , _
GRAB_DIAG_UP        , _ , _ , _
GRAB_ALT            , _ , _ , _
POUNCE              , _ , _ , _
TACKLE              , _ , _ , _
TOSS                ,  0 ,  0 , F-
THROW               , -3 ,  0 , F-
THROW_UP            , -3 ,  0 , F-
THROW_UP_DIAG       , -3 ,  0 , F-
THROW_DOWN          , -3 ,  0 , F-
THROW_DOWN_DIAG     , -3 ,  0 , F-
DROP                ,  0 ,  0 , F-
INTERACT            , _ , _ , _
DRAW                , _ , _ , _
LOAD                , _ , _ , _
SHOOT               , _ , _ , _
