Polearm
THRUST              , B , C , D
THRUST_UNTERHAU     , B , D , F
THRUST_UP           , B , C , D
THRUST_DOWN         , B , C , D
THRUST_DIAG_UP      , B , C , D
THRUST_DIAG_DOWN    , B , C , D
LUNGE               , A , B , F
STAB                , B , D , C
STAB_UNTERHAU       , B , D , C
SWING               , C , B , F
SWING_UNTERHAU      , _ , _ , _
SWING_UNTERHAU_C    , B , A , F
SWING_AERIAL        , C , B , F
SWING_PRONE         , C , B , F
SWING_UP_FORWARD    , C , B , F
SWING_UP_BACKWARD   , _ , _ , _
SWING_DOWN_FORWARD  , C , B , F
SWING_DOWN_BACKWARD , _ , _ , _
SHOVE               , _ , _ , _
GRAB                , _ , _ , _
GRAB_UP             , _ , _ , _
GRAB_DIAG_UP        , _ , _ , _
GRAB_ALT            , _ , _ , _
POUNCE              , _ , _ , _
TACKLE              , _ , _ , _
TOSS                , F-, F-, F-
THROW               , B , D , F-
THROW_UP            , B , D , F-
THROW_UP_DIAG       , B , D , F-
THROW_DOWN          , B , D , F-
THROW_DOWN_DIAG     , B , D , F-
DROP                , F-, F-, F-
INTERACT            , _ , _ , _
DRAW                , _ , _ , _
LOAD                , _ , _ , _
SHOOT               , _ , _ , _
