Polearm
THRUST              ,  0 , -2 ,  0
THRUST_UNTERHAU     ,  0 , -2 ,  0
THRUST_UP           ,  0 , -2 ,  0
THRUST_DOWN         ,  0 , -2 ,  0
THRUST_DIAG_UP      ,  0 , -2 ,  0
THRUST_DIAG_DOWN    ,  0 , -2 ,  0
LUNGE               ,  0 , -2 ,  0
STAB                ,  0 , -2 ,  0
STAB_UNTERHAU       ,  0 , -2 ,  0
SWING               , -3 , -2 ,  0
SWING_UNTERHAU      , _ , _ , _
SWING_UNTERHAU_C    , -3 , -4 ,  0
SWING_AERIAL        , -3 , -4 ,  0
SWING_PRONE         , -3 , -4 ,  0
SWING_UP_FORWARD    , -3 , -4 ,  0
SWING_UP_BACKWARD   , _ , _ , _
SWING_DOWN_FORWARD  , -3 , -4 ,  0
SWING_DOWN_BACKWARD , _ , _ , _
SHOVE               , _ , _ , _
GRAB                , _ , _ , _
GRAB_UP             , _ , _ , _
GRAB_DIAG_UP        , _ , _ , _
GRAB_ALT            , _ , _ , _
POUNCE              , _ , _ , _
TACKLE              , _ , _ , _
TOSS                ,  0 ,  0 ,  0
THROW               , +6 , +2 ,  0
THROW_UP            , +6 , +2 ,  0
THROW_UP_DIAG       , +6 , +2 ,  0
THROW_DOWN          , +6 , +2 ,  0
THROW_DOWN_DIAG     , +6 , +2 ,  0
DROP                ,  0 ,  0 ,  0
INTERACT            , _ , _ , _
DRAW                , _ , _ , _
LOAD                , _ , _ , _
SHOOT               , _ , _ , _
