Polearm
THRUST              , -8 ,  0 , -5
THRUST_UNTERHAU     , -8 ,  0 , -5
THRUST_UP           , -8 ,  0 , -5
THRUST_DOWN         , -8 ,  0 , -5
THRUST_DIAG_UP      , -8 ,  0 , -5
THRUST_DIAG_DOWN    , -8 ,  0 , -5
LUNGE               , -8 ,  0 ,  0
STAB                , -8 ,  0 , -7
STAB_UNTERHAU       , -8 ,  0 , -7
SWING               , -6 , -2 ,  0
SWING_UNTERHAU      , _ , _ , _
SWING_UNTERHAU_C    , -6 , -2 ,  0
SWING_AERIAL        , -6 , -2 ,  0
SWING_PRONE         , -6 , -2 ,  0
SWING_UP_FORWARD    , -6 , -2 ,  0
SWING_UP_BACKWARD   , _ , _ , _
SWING_DOWN_FORWARD  , -6 , -2 ,  0
SWING_DOWN_BACKWARD , _ , _ , _
SHOVE               , _ , _ , _
GRAB                , _ , _ , _
GRAB_UP             , _ , _ , _
GRAB_DIAG_UP        , _ , _ , _
GRAB_ALT            , _ , _ , _
POUNCE              , _ , _ , _
TACKLE              , _ , _ , _
TOSS                ,  0 ,  0 ,  0
THROW               , -3 , -3 ,  0
THROW_UP            , -3 , -3 ,  0
THROW_UP_DIAG       , -3 , -3 ,  0
THROW_DOWN          , -3 , -3 ,  0
THROW_DOWN_DIAG     , -3 , -3 ,  0
DROP                ,  0 ,  0 ,  0
INTERACT            , _ , _ , _
DRAW                , _ , _ , _
LOAD                , _ , _ , _
SHOOT               , _ , _ , _
