Stick _
THRUST              , F , F , F
THRUST_UNTERHAU     , F , F , F
THRUST_UP           , F , F , F
THRUST_DOWN         , F , F , F
THRUST_DIAG_UP      , F , F , F
THRUST_DIAG_DOWN    , F , F , F
LUNGE               , _ , _ , _
STAB                , _ , _ , _
STAB_UNTERHAU       , _ , _ , _
SWING               , E , E , F
SWING_UNTERHAU      , E , E , F
SWING_UNTERHAU_C    , E , E , F
SWING_AERIAL        , E , E , F
SWING_PRONE         , E , E , F
SWING_UP_FORWARD    , E , E , F
SWING_UP_BACKWARD   , E , E , F
SWING_DOWN_FORWARD  , E , E , F
SWING_DOWN_BACKWARD , E , E , F
SHOVE               , _ , _ , _
GRAB                , _ , _ , _
GRAB_UP             , _ , _ , _
GRAB_DIAG_UP        , _ , _ , _
GRAB_ALT            , _ , _ , _
POUNCE              , _ , _ , _
TACKLE              , _ , _ , _
TOSS                , F-, F-, F-
THROW               , F , F , F
THROW_UP            , F , F , F
THROW_UP_DIAG       , F , F , F
THROW_DOWN          , F , F , F
THROW_DOWN_DIAG     , F , F , F
DROP                , F-, F-, F-
INTERACT            , _ , _ , _
DRAW                , _ , _ , _
LOAD                , _ , _ , _
SHOOT               , _ , _ , _
