Sword
THRUST              , +1, +1, -1
THRUST_UNTERHAU     , +1, +1, -1
THRUST_UP           , +1, +1, -1
THRUST_DOWN         , +1, +1, -1
THRUST_DIAG_UP      , +1, +1, -1
THRUST_DIAG_DOWN    , +1, +1, -1
LUNGE               , +1, +1, -1
STAB                ,  0, +1, -1
STAB_UNTERHAU       ,  0, +1, -1
SWING               , +1, +1, -1
SWING_UNTERHAU      , +1, +1, -1
SWING_UNTERHAU_C    , +1, +1, -1
SWING_AERIAL        , +1, +1, -1
SWING_PRONE         , +1, +1, -1
SWING_UP_FORWARD    , +1, +1, -1
SWING_UP_BACKWARD   , +1, +1, -1
SWING_DOWN_FORWARD  , +1, +1, -1
SWING_DOWN_BACKWARD , +1, +1, -1
SHOVE               , _ , _ , _
GRAB                , _ , _ , _
GRAB_UP             , _ , _ , _
GRAB_DIAG_UP        , _ , _ , _
GRAB_ALT            , _ , _ , _
POUNCE              , _ , _ , _
TACKLE              , _ , _ , _
TOSS                ,  0,  0,  0
THROW               , -1, +1,  0
THROW_UP            , -1, +1,  0
THROW_UP_DIAG       , -1, +1,  0
THROW_DOWN          , -1, +1,  0
THROW_DOWN_DIAG     , -1, +1,  0
DROP                ,  0,  0,  0
INTERACT            , _ , _ , _
DRAW                , _ , _ , _
LOAD                , _ , _ , _
SHOOT               , _ , _ , _
