Polearm
THRUST              , -2 , -2 , -1
THRUST_UNTERHAU     , -2 , -2 , -1
THRUST_UP           , -2 , -2 , -1
THRUST_DOWN         , -2 , -2 , -1
THRUST_DIAG_UP      , -2 , -2 , -1
THRUST_DIAG_DOWN    , -2 , -2 , -1
LUNGE               , -2 , -2 , -1
STAB                , -2 , -2 , -1
STAB_UNTERHAU       , -2 , -2 , -1
SWING               , -4 , -2 , F-
SWING_UNTERHAU      , _ , _ , _
SWING_UNTERHAU_C    , -4 , -4 , F-
SWING_AERIAL        , -4 , -4 , F-
SWING_PRONE         , -4 , -4 , F-
SWING_UP_FORWARD    , -4 , -4 , F-
SWING_UP_BACKWARD   , _ , _ , _
SWING_DOWN_FORWARD  , -4 , -4 , F-
SWING_DOWN_BACKWARD , _ , _ , _
SHOVE               , _ , _ , _
GRAB                , _ , _ , _
GRAB_UP             , _ , _ , _
GRAB_DIAG_UP        , _ , _ , _
GRAB_ALT            , _ , _ , _
POUNCE              , _ , _ , _
TACKLE              , _ , _ , _
TOSS                ,  0 ,  0 ,  0
THROW               ,  0 ,  0 ,  0
THROW_UP            ,  0 ,  0 ,  0
THROW_UP_DIAG       ,  0 ,  0 ,  0
THROW_DOWN          ,  0 ,  0 ,  0
THROW_DOWN_DIAG     ,  0 ,  0 ,  0
DROP                ,  0 ,  0 ,  0
INTERACT            , _ , _ , _
DRAW                , _ , _ , _
LOAD                , _ , _ , _
SHOOT               , _ , _ , _
