Mace
THRUST              , -1 , -2 ,  0
THRUST_UNTERHAU     ,  0 , -2 ,  0
THRUST_UP           , -1 , -2 ,  0
THRUST_DOWN         , -1 , -2 ,  0
THRUST_DIAG_UP      , -1 , -2 ,  0
THRUST_DIAG_DOWN    , -1 , -2 ,  0
LUNGE               , -1 , -2 ,  0
STAB                ,  D ,  D ,  F
STAB_UNTERHAU       ,  D ,  D ,  F
SWING               , -3 , -1 ,  0
SWING_UNTERHAU      , _ , _ , _
SWING_UNTERHAU_C    , -5 , -1 ,  0
SWING_AERIAL        , -3 , -1 ,  0
SWING_PRONE         , -3 , -1 ,  0
SWING_UP_FORWARD    , -3 , -1 ,  0
SWING_UP_BACKWARD   , _ , _ , _
SWING_DOWN_FORWARD  , -3 , -1 ,  0
SWING_DOWN_BACKWARD , _ , _ , _
SHOVE               , _ , _ , _
GRAB                , _ , _ , _
GRAB_UP             , _ , _ , _
GRAB_DIAG_UP        , _ , _ , _
GRAB_ALT            , _ , _ , _
POUNCE              , _ , _ , _
TACKLE              , _ , _ , _
TOSS                , F- , F- , F-
THROW               , -1 , -1 , F-
THROW_UP            , -1 , -1 , F-
THROW_UP_DIAG       , -1 , -1 , F-
THROW_DOWN          , -1 , -1 , F-
THROW_DOWN_DIAG     , -1 , -1 , F-
DROP                , F- , F- , F-
INTERACT            , _ , _ , _
DRAW                , _ , _ , _
LOAD                , _ , _ , _
SHOOT               , _ , _ , _
