Dagger _
THRUST              , D , F , A
THRUST_UNTERHAU     , D , F , B
THRUST_UP           , D , E , B
THRUST_DOWN         , D , E , B
THRUST_DIAG_UP      , D , E , B
THRUST_DIAG_DOWN    , D , E , B
LUNGE               , _ , _ , _
STAB                , D , F , A
STAB_UNTERHAU       , D , F , A
SWING               , D , F , D
SWING_UNTERHAU      , D , F , D
SWING_UNTERHAU_C    , D , F , D
SWING_AERIAL        , D , F , D
SWING_PRONE         , D , F , D
SWING_UP_FORWARD    , D , F , D
SWING_UP_BACKWARD   , D , F , D
SWING_DOWN_FORWARD  , D , F , D
SWING_DOWN_BACKWARD , D , F , D
SHOVE               , _ , _ , _
GRAB                , _ , _ , _
GRAB_UP             , _ , _ , _
GRAB_DIAG_UP        , _ , _ , _
GRAB_ALT            , _ , _ , _
POUNCE              , _ , _ , _
TACKLE              , _ , _ , _
TOSS                , F-, F-, F-
THROW               , D , D , F
THROW_UP            , D , D , F
THROW_UP_DIAG       , D , D , F
THROW_DOWN          , D , D , F
THROW_DOWN_DIAG     , D , D , F
DROP                , F-, F-, F-
INTERACT            , _ , _ , _
DRAW                , _ , _ , _
LOAD                , _ , _ , _
SHOOT               , _ , _ , _
