Rock _
THRUST              , E , D , F-
THRUST_UNTERHAU     , E , D , F-
THRUST_UP           , E , D , F-
THRUST_DOWN         , _ , _ , _
THRUST_DIAG_UP      , _ , _ , _
THRUST_DIAG_DOWN    , _ , _ , _
LUNGE               , _ , _ , _
STAB                , _ , _ , _
STAB_UNTERHAU       , _ , _ , _
SWING               , E , E , F-
SWING_UNTERHAU      , _ , _ , _
SWING_UNTERHAU_C    , E , D , F
SWING_AERIAL        , _ , _ , _
SWING_PRONE         , _ , _ , _
SWING_UP_FORWARD    , _ , _ , _
SWING_UP_BACKWARD   , _ , _ , _
SWING_DOWN_FORWARD  , _ , _ , _
SWING_DOWN_BACKWARD , _ , _ , _
SHOVE               , _ , _ , _
GRAB                , _ , _ , _
GRAB_UP             , _ , _ , _
GRAB_DIAG_UP        , _ , _ , _
GRAB_ALT            , _ , _ , _
POUNCE              , _ , _ , _
TACKLE              , _ , _ , _
TOSS                , _ , _ , _
THROW               , _ , _ , _
THROW_UP            , _ , _ , _
THROW_UP_DIAG       , _ , _ , _
THROW_DOWN          , _ , _ , _
THROW_DOWN_DIAG     , _ , _ , _
DROP                , _ , _ , _
INTERACT            , _ , _ , _
DRAW                , _ , _ , _
LOAD                , _ , _ , _
SHOOT               , _ , _ , _
