Type,CenterX,CenterY,Width / Type / Parent,Height,Liquid / Zoom
RECTANGLE,-220,145,2860,110,false
RECTANGLE,1195,-80,30,340,false
RECTANGLE,-785,85,70,20,false
RECTANGLE,-395,-205,30,150,false
RECTANGLE,-205,-345,30,170,false
RECTANGLE,-675,-785,50,30,false
RECTANGLE,-875,-785,50,30,false
RECTANGLE,-1125,-785,50,30,false
RECTANGLE,295,-95,210,370,false
RECTANGLE,-205,-60,30,160,false
RECTANGLE,-600,-440,440,40,false
TRIANGLE_UP_R,-645,-590,350,260,false
RECTANGLE,-855,75,70,30,false
RECTANGLE,-930,70,80,60,false
RECTANGLE,390,-300,20,40,false
TRIANGLE_DW_L,470,-390,100,100,false
TRIANGLE_UP_R,450,-270,100,100,false
TRIANGLE_UP_L,580,-175,100,50,false
RECTANGLE,980,-230,80,40,false
RECTANGLE,755,-340,90,40,false
RECTANGLE,50,-30,100,40,false
RECTANGLE,15,-125,30,150,false
RECTANGLE,-20,-215,60,30,false
RECTANGLE,-35,-305,30,150,false
RECTANGLE,-65,-395,70,30,false
RECTANGLE,-85,-480,30,140,false
RECTANGLE,-125,-535,50,30,false
RECTANGLE,-135,-625,30,150,false
RECTANGLE,-180,-690,60,20,false
RECTANGLE,-195,-750,30,100,false
RECTANGLE,-380,-785,340,30,false
RECTANGLE,365,-510,710,20,false
Player,-250,-150,Igon
Player,-300,-250,Zuzen
WeaponAttacks,-250,-150,0
WeaponAttacks,-300,-250,1
WeaponAttacks,-250,-150,-1
WeaponAttacks,-300,-250,-1
WeaponAttacks,-250,-150,-1
WeaponAttacks,-300,-250,-1
WeaponAttacks,-250,-150,-1
WeaponAttacks,-300,-250,-1
WeaponAttacks,-250,-150,-1
WeaponAttacks,-300,-250,-1
WeaponAttacks,-250,-150,-1
WeaponAttacks,-300,-250,-1
WeaponAttacks,-250,-150,-1
WeaponAttacks,-300,-250,-1
WeaponAttacks,-250,-150,-1
WeaponAttacks,-300,-250,-1
WeaponAttacks,-250,-158,-1
WeaponAttacks,-300,-257,-1
